,Dep,link,Dep,Course_type,ID,Course Name
187,GSAS,https://as.nida.ac.th/en/madt-1/,LC,Foundation courses,4002,Integrated English Language Skills Development
188,GSAS,https://as.nida.ac.th/en/madt-1/,LC,Foundation courses,4011,Remedial Reading Skills Development in English for Graduate Studies
189,GSAS,https://as.nida.ac.th/en/madt-1/,LC,Foundation courses,4012,Remedial Integrated English Language Skills Development
190,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Foundation courses,4001,Statistics and Mathematics Foundation
191,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Foundation courses,4002,Basic Programming and Database Management
192,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Foundation courses,4003,English for Data Analytics and Data Science
193,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Basic courses,5001,Data Analytics and Data Science Tools and Programming
194,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Basic courses,5002,Business Model Simulation and Design Thinking
195,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Core courses,6001,Applied Modern Statistical Analysis
196,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Core courses,6002 ,Big Data Analytics
197,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Core courses,6003,Applied Machine Learning
198,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Core courses,6004,Financial and Risk Analytics
199,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Core courses,6005,Data Streaming and Real Time Analytics
200,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7101,Customer and Marketing Analytics
201,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7102,Applied Optimization and Prescriptive Analytics
202,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7103,Supply Chain Analytics
203,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7104,Presentational Strategies Competence Development for Business Success
204,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7201,Social Network and Media Analysis
205,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7202,Deep Learning
206,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7203,Text Analytics and Natural Language Processing
207,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7204,Reinforcement Learning and Advanced Machine Learning
208,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7205,Research Design and Inquiry Methods
209,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Elective courses,7206,Image and Video Analytics
210,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Seminars and selected topics,8710,Selected Topics in Data Analytics and Data Science
211,GSAS,https://as.nida.ac.th/en/dads-1/,DADS,Seminars and selected topics,8721,Seminar in Data Analytics and Data Science
